ACC-X,ACC-Y,ACC-Z,GYRO-X,GYRO-Y,GYRO-Z,TEST
-1.484,-1.436,0.551,52.982,137.763,-564.362,2
-1.158,-1.645,0.579,2.417,133.447,-416.46,2
-0.969,-1.158,0.457,7.062,126.253,-325.308,2
-0.97,-1.935,0.032,-39.906,51.731,-230.737,2
-0.656,-0.5,0.607,-33.83,-48.795,-110.295,2
-0.563,-0.712,1.268,-46.611,-45.162,-151.294,2
-0.382,-0.993,1.406,-37.496,-24.949,-97.169,2
-0.226,-0.56,1.382,-18.465,-6.39,-87.982,2
-0.269,-0.824,1.127,-2.087,-20.489,-68.605,2
-0.228,-0.534,1.249,11.217,-33.329,-63.216,2
-0.312,-0.952,1.341,14.57,-7.218,-54.996,2
-0.406,-1.2,1.202,11.601,21.879,-11.095,2
-0.315,-0.665,1.15,9.367,29.684,30.043,2
-0.203,-0.551,1.032,5.106,39.754,21.304,2
-0.21,-0.687,0.874,13.103,25.188,21.718,2
-0.257,-0.693,0.932,19.773,6.522,30.733,2
-0.325,-0.727,0.858,21.379,2.026,48.556,2
-0.341,-0.68,0.827,17.049,-2.182,69.971,2
-0.31,-0.66,0.806,9.646,-1.787,82.026,2
-0.243,-0.667,0.652,2.662,-10.67,100.125,2
-0.242,-0.844,0.512,1.998,-32.07,112.249,2
-0.264,-0.808,0.47,7.306,-67.065,151.348,2
-0.258,-0.505,0.687,7.76,-99.687,168.757,2
-0.077,0.274,1.128,8.389,-103.751,138.257,2
-0.075,-0.408,1.181,-14.065,-67.137,105.513,2
-0.09,-0.729,1.094,-12.284,-48.183,117.81,2
-0.134,-0.872,0.943,-7.605,-32.61,144.786,2
-0.172,-0.519,0.94,-19.024,-17.971,179.257,2
-0.11,0.036,0.922,-22.69,-13.188,156.909,2
-0.072,-0.07,0.846,-33.516,-17.684,120.884,2
-0.016,-0.521,0.96,-33.55,-22.791,112.663,2
-0.028,-0.798,0.95,-31.56,-12.037,134.078,2
-0.078,-0.622,0.846,-39.801,-3.369,167.928,2
0.013,0.255,0.809,-31.804,-7.685,151.245,2
0.071,0.163,0.872,-18.43,-16.389,102.957,2
0.08,-0.23,0.889,-14.17,-23.33,76.603,2
0.097,-0.552,0.986,-14.205,-26.819,79.677,2
0.04,-0.578,0.785,-17.487,-17,102.232,2
0.066,-0.072,0.806,-12.494,-20.957,117.81,2
0.098,-0.084,0.794,-2.157,-28.186,89.832,2
0.092,-0.174,0.836,-3.938,-38.76,72.458,2
0.103,-0.314,1.02,-17.382,-32.286,76.292,2
0.097,-0.382,0.959,-25.135,-19.338,83.753,2
0.118,-0.156,0.969,-25.17,-17,85.342,2
0.131,-0.058,0.937,-15.217,-14.519,58.849,2
0.128,-0.208,0.991,-12.424,-18.115,49.834,2
0.105,-0.321,0.937,-8.198,-16.353,51.25,2
0.09,-0.373,0.905,-8.198,-21.424,64.376,2
0.109,-0.23,0.962,-8.059,-23.798,71.94,2
0.133,-0.028,0.96,-7.605,-18.619,62.649,2
0.156,-0.015,0.999,-4.916,-14.519,41.234,2
0.134,-0.187,1.001,-2.332,-11.354,28.661,2
0.115,-0.295,0.907,-4.497,-11.749,31.562,2
0.103,-0.374,0.914,-13.262,-10.167,40.474,2
0.104,-0.223,0.903,-13.576,-7.038,43.064,2
0.124,-0.148,0.958,-12.982,-11.21,37.227,2
0.119,-0.229,0.972,-10.503,-11.533,29.663,2
0.119,-0.278,0.954,-12.459,-7.685,29.766,2
0.117,-0.309,0.949,-18.29,-6.067,34.326,2
0.097,-0.23,0.92,-16.579,-7.613,37.538,2
0.103,-0.216,0.919,-13.855,-10.275,37.745,2
0.109,-0.148,0.959,-14.309,-11.174,33.497,2
0.11,-0.211,0.974,-20.944,-12.217,30.63,2
0.105,-0.274,0.991,-22.9,-11.749,29.214,2
0.125,-0.191,1.005,-22.76,-6.75,32.737,2
0.114,-0.201,0.952,-22.306,-5.635,31.631,2
0.105,-0.21,0.931,-24.401,-6.786,31.044,2
0.12,-0.116,0.928,-27.719,-4.628,26.727,2
0.118,-0.138,0.907,-36.623,-9.375,29.559,2
0.114,-0.051,0.921,-35.506,-9.088,22.375,2
0.106,-0.161,0.968,-28.382,-12.972,16.468,2
0.086,-0.244,0.984,-32.643,-11.21,25.587,2
0.064,-0.27,0.977,-32.677,-9.627,33.289,2
0.066,-0.159,1.017,-28.801,-12.756,43.997,2
0.064,-0.128,1.026,-28.138,-17.36,47.451,2
0.082,-0.048,1.034,-24.751,-18.655,42.65,2
0.083,0.004,0.999,-21.922,-12.361,35.085,2
0.079,-0.074,0.996,-18.325,-14.95,30.112,2
0.1,-0.087,0.986,-14.903,-11.246,26.14,2
0.093,-0.064,0.974,-12.284,-10.886,26.278,2
0.076,-0.052,0.956,-5.859,-13.152,20.302,2
0.062,-0.056,0.98,-7.29,-13.727,19.922,2
0.056,-0.003,0.992,-13.786,-17.288,19.646,2
0.07,0.04,1.079,-11.516,-12.936,12.634,2
0.053,-0.019,1.053,-7.186,-4.736,5.657,2
0.037,-0.047,1.039,-6.802,-3.081,5.899,2
0.041,-0.041,1.046,-3.589,-2.038,9.353,2
0.038,0,1.007,-2.262,-1.93,14.05,2
0.044,0.018,1.006,0.916,-2.614,9.422,2
0.055,-0.003,1.022,-0.935,-2.65,4.172,2
0.056,-0.035,1.016,-1.284,2.421,-0.284,2
0.057,-0.007,1.01,-0.237,3.393,-0.698,2
0.051,-0.054,1.025,1.37,-0.456,0.787,2
0.038,-0.061,1.004,4.024,-0.024,-0.526,2
0.048,-0.044,1.017,5.49,1.019,-8.608,2
0.045,-0.074,0.995,2.382,2.853,0.131,2
0.041,-0.076,0.972,-1.04,5.479,0.476,2
0.047,-0.087,0.977,-4.671,4.687,2.169,2
0.055,-0.056,0.95,-2.332,4.903,4.552,2
0.073,-0.048,0.954,0.182,1.738,4.137,2
0.073,-0.062,0.965,2.103,-1.247,3.654,2
0.065,-0.068,0.994,4.617,-0.672,3.93,2
0.052,-0.065,1.001,4.198,-1.93,6.21,2
0.049,-0.045,1.016,4.582,-1.211,3.999,2
0.043,-0.004,1.02,5.63,-0.168,-0.318,2
0.039,-0.072,1.035,2.522,2.421,0.925,2
0.042,-0.022,0.988,1.719,3.608,0.822,2
0.045,-0.058,0.987,1.929,2.565,1.098,2
0.049,-0.052,0.973,1.16,1.63,0.925,2
0.052,-0.085,0.969,1.335,1.055,2.721,2
0.066,-0.075,0.979,0.287,1.163,3.723,2
0.07,-0.038,1.005,2.417,0.659,3.17,2
0.069,-0.055,0.991,0.497,2.098,1.271,2
0.065,-0.071,1.001,-0.83,2.242,-0.629,2
0.052,-0.07,0.967,0.182,-0.096,1.892,2
0.046,-0.061,1.014,-0.027,0.479,2.825,2
0.045,-0.054,1.002,1.125,3.429,0.442,2
0.049,-0.064,0.995,0.252,4.148,0.649,2
0.054,-0.099,0.988,-1.144,3.177,2.203,2
0.059,-0.066,0.958,-0.376,1.019,4.448,2
0.066,-0.054,0.978,1.37,-0.923,2.238,2
0.076,-0.039,0.974,-0.656,-0.492,1.65,2
0.082,-0.054,1.006,-1.04,0.551,-0.975,2
0.076,-0.077,1.008,0.741,1.342,-0.767,2
0.062,-0.062,1.011,2.348,2.062,0.683,2
0.049,-0.06,1.002,0.567,2.637,0.96,2
0.044,-0.055,0.988,-0.481,2.493,2.583,2
0.044,-0.044,0.992,-1.703,1.81,1.65,2
0.04,-0.063,0.987,-1.808,2.889,0.822,2
0.046,-0.054,0.987,0.951,1.486,0.822,2
0.061,-0.042,0.989,2.313,1.271,1.443,2
0.076,-0.04,0.971,1.37,0.551,0.476,2
0.086,-0.045,0.97,-2.017,0.048,-1.389,2
0.091,-0.074,0.965,-2.751,0.012,-1.251,2
0.094,-0.069,0.972,-1.249,0.407,1.201,2
0.085,-0.073,1.003,-0.376,-1.067,4.345,2
0.064,-0.036,0.987,1.824,-0.096,1.063,2
0.053,-0.027,1.003,1.649,0.084,-0.802,2
0.035,-0.046,0.993,0.392,0.371,-1.458,2
0.03,-0.064,1.004,-0.9,0.192,1.098,2
0.03,-0.071,0.994,2.836,0.12,-0.491,2
0.042,-0.049,1.016,2.417,0.587,-0.146,2
0.055,-0.074,1.01,-1.494,0.587,1.512,2
0.07,-0.057,0.991,-1.075,1.019,2.479,2
0.078,-0.053,1.002,1.824,0.299,1.409,2
0.089,-0.059,0.988,0.602,1.63,0.925,2
0.094,-0.067,1,-1.214,1.199,0.2,2
0.085,-0.057,0.988,0.532,1.45,0.891,2
0.067,-0.041,0.991,1.405,1.486,0.787,2
0.05,-0.061,1.003,0.008,1.882,0.234,2
0.045,-0.046,1.009,-0.167,1.45,1.858,2
0.051,-0.038,1.01,1.824,3.105,2.03,2
0.064,-0.008,0.969,3.57,2.961,0.372,2
0.058,-0.031,0.968,1.754,2.134,-1.285,2
0.059,-0.092,0.957,0.078,0.695,-1.7,2
0.078,-0.085,0.968,0.043,-1.355,2.272,2
0.097,-0.052,0.996,-0.97,-2.506,3.861,2
0.106,-0.029,1.017,-0.411,-1.283,0.891,2
0.093,-0.038,0.992,-0.621,1.235,-1.458,2
0.083,-0.065,1,-1.983,0.407,-1.804,2
0.063,-0.078,0.998,-2.017,0.299,-0.767,2
0.051,-0.05,0.996,0.986,1.378,-0.007,2
0.04,-0.058,0.981,0.671,0.659,-0.422,2
0.041,-0.035,0.967,-0.446,1.055,-1.216,2
0.043,-0.043,0.964,0.043,-1.319,0.165,2
0.053,-0.038,0.984,0.078,-2.146,0.994,2
0.062,-0.058,1,0.252,-2.902,-0.318,2
0.07,-0.072,1.023,-0.062,-2.002,0.269,2
0.079,-0.066,1.066,1.37,-0.528,0.822,2
0.086,-0.043,1.103,3.29,2.35,-0.836,2
0.077,-0.062,1.062,1.265,5.658,0.925,2
0.069,-0.047,1.019,-0.446,7.385,0.787,2
0.061,-0.032,0.976,1.754,7.637,0.683,2
0.052,-0.043,0.936,2.941,7.457,-1.216,2
0.05,-0.08,0.907,2.068,4.184,-1.769,2
0.056,-0.072,0.915,3.395,1.702,-0.353,2
0.078,-0.088,0.94,4.897,-1.247,1.581,2
0.091,-0.068,0.969,2.313,-0.959,2.307,2
0.089,-0.084,0.95,-0.376,-1.894,1.754,2
0.092,-0.084,0.994,-2.087,-2.434,3.55,2
0.089,-0.051,0.998,-1.773,-1.751,4.517,2
0.077,-0.031,1.028,0.986,-1.211,1.029,2
0.064,-0.033,1.03,1.475,0.659,0.994,2
0.053,-0.056,1,0.392,2.781,-0.215,2
0.052,-0.09,0.999,-1.424,3.141,1.029,2
0.056,-0.077,0.947,-1.773,1.738,3.239,2
0.078,-0.039,0.969,0.811,-0.204,1.72,2
0.08,-0.061,0.982,0.497,-1.787,1.789,2
0.087,-0.065,0.992,-2.576,-0.6,2.099,2
0.076,0.347,1.22,1.475,-8.584,11.218,3
0.1,0.591,1.313,17.852,5.191,-3.116,3
0.13,0.975,1.281,40.83,21.376,-37.76,3
0.179,1.673,1.361,71.385,35.403,-102.799,3
0.083,1.495,1.122,77.67,77.483,-260.131,3
-0.185,0.924,1.019,66.601,99.279,-314.152,3
-0.382,0.642,0.94,90.696,114.996,-381.782,3
-0.48,1.091,0.925,138.432,153.408,-438.324,3
-0.817,0.577,0.441,156.031,170.456,-522.326,3
-0.959,-0.452,0.198,98.204,136.36,-519.494,3
-0.774,-0.786,0.762,57.696,106.472,-445.405,3
-0.713,-0.055,0.407,85.458,124.167,-396.358,3
-0.866,0.041,0.439,52.668,96.078,-421.365,3
-0.904,-1.578,0.529,-33.585,96.725,-375.288,3
-0.696,-1.576,0.651,-8.722,70.11,-257.505,3
-0.434,-0.884,0.818,-14.728,44.538,-165.663,3
-0.329,-0.671,0.947,-22.411,36.05,-151.881,3
-0.321,-0.817,1.005,-17.906,15.477,-118.308,3
-0.286,-1.023,1.224,-15.147,-10.562,-83.768,3
-0.193,-0.696,1.434,-12.982,19.002,-48.709,3
-0.2,-0.965,1.235,-6.173,42.524,-40.281,3
-0.193,-0.709,0.88,13.906,51.695,-6.432,3
-0.219,-0.67,0.598,16.001,18.642,-10.231,3
-0.202,-0.713,0.796,7.69,-19.194,6.97,3
-0.058,-0.645,1.081,-0.097,-26.172,3.55,3
-0.111,-0.826,1.128,-2.611,4.112,5.692,3
-0.176,-0.852,0.976,-3.903,13.751,30.733,3
-0.223,-0.77,0.8,2.836,2.457,57.502,3
-0.206,-0.532,0.832,2.662,-14.842,55.326,3
-0.194,-0.786,0.802,2.068,-20.453,65.308,3
-0.153,-0.882,0.768,7.306,-35.379,85.445,3
-0.136,-0.575,0.801,12.579,-53.758,123.543,3
-0.021,-0.077,1.073,8.563,-53.542,91.973,3
-0.06,-0.7,0.97,-0.83,-38.184,89.383,3
-0.115,-1.011,0.813,-0.132,-37.465,127.792,3
-0.185,-0.996,0.762,-6.173,-47.536,171.002,3
-0.233,-0.503,0.769,-30.058,-55.556,207.027,3
-0.139,0.052,0.84,-40.011,-62.785,207.925,3
-0.043,-0.085,0.916,-34.808,-70.518,173.489,3
-0.013,-0.555,1.081,-22.865,-75.841,171.658,3
-0.096,-0.637,0.969,-29.5,-52.103,199.014,3
-0.059,0.117,1.003,-28.103,-44.155,210.827,3
0.032,0.169,0.949,-30.058,-39.947,154.63,3
0.087,-0.024,0.976,-28.417,-36.278,127.584,3
0.056,-0.591,1.029,-27.125,-28.114,140.641,3
-0.016,-0.574,0.936,-31.211,-14.914,168.826,3
0.015,0.185,0.832,-25.519,-13.62,179.429,3
0.046,0.172,0.779,-23.179,-49.01,137.049,3
0.064,-0.074,0.893,-25.868,-53.218,104.857,3
0.066,-0.329,1.039,-36.728,-40.414,112.283,3
0.06,-0.283,0.994,-43.433,-12.289,127.101,3
0.087,0.246,0.833,-30.443,-13.188,109.14,3
0.126,0.388,0.858,-14.589,-26.999,70.627,3
0.119,-0.077,1.057,-7.919,-31.423,41.51,3
0.125,-0.28,1.141,-17.732,-9.591,50.836,3
0.103,-0.35,1,-38.474,12.276,68.693,3
0.088,0.013,0.886,-38.335,13.679,80.575,3
0.082,0.016,0.815,-21.468,-0.384,54.532,3
0.086,-0.15,0.969,-18.22,-8.62,52.321,3
0.054,-0.271,0.967,-28.766,-4.916,62.96,3
-0.012,-0.535,0.811,-57.226,-3.477,86.205,3
0.037,0.104,0.839,-50.626,-13.368,114.77,3
0.081,0.154,0.859,-25.17,-29.337,94.288,3
0.153,0.135,0.965,-19.198,-39.084,70.938,3
0.172,-0.047,1.022,-22.97,-39.587,63.167,3
0.12,-0.099,1.115,-28.662,-32.861,68.279,3
0.092,0.094,1.122,-27.684,-23.942,67.657,3
0.087,0.292,1.095,-23.808,-17.144,56.224,3
0.083,0.331,1.075,-10.678,-11.282,29.663,3
0.057,0.05,0.985,-4.846,-3.477,10.976,3
0.086,0.083,0.996,4.059,-0.276,17.539,3
0.053,-0.057,0.82,6.678,-0.78,22.409,3
0.079,0.021,0.904,6.433,-1.571,21.684,3
0.061,-0.018,0.963,3.186,-4.772,14.776,3
0.07,0.04,0.992,-4.287,-11.462,9.146,3
0.078,-0.009,1.064,-8.687,-13.008,8.282,3
0.089,-0.053,1.103,-13.611,-9.268,9.284,3
0.069,-0.02,1.089,-12.075,-2.686,8.628,3
0.038,-0.029,1.064,-7.814,-0.672,7.764,3
0.016,-0.085,1.086,-5.195,0.012,6.901,3
0.014,-0.04,1.027,-9.7,4.292,10.424,3
0.021,-0.007,1.036,-12.04,2.529,9.767,3
0.065,0.067,1.057,-10.398,13.139,0.96,3
0.019,-0.085,0.894,-0.411,15.405,-3.876,3
0.052,-0.069,0.929,7.551,1.846,-0.111,3
0.08,-0.019,0.998,10.868,-0.348,5.243,3
0.101,0.042,0.955,11.532,-1.211,3.861,3
0.118,0.118,1.058,6.643,3.249,-1.907,3
0.1,0.037,1.044,4.024,5.551,-8.781,3
