GESTURE,ACC-X-MIN-ring1,ACC-Y-MIN-ring1,ACC-Z-MIN-ring1,GYRO-X-MIN-ring1,GYRO-Y-MIN-ring1,GYRO-Z-MIN-ring1,ACC-X-MAX-ring1,ACC-Y-MAX-ring1,ACC-Z-MAX-ring1,GYRO-X-MAX-ring1,GYRO-Y-MAX-ring1,GYRO-Z-MAX-ring1,ACC-X-MEAN-ring1,ACC-Y-MEAN-ring1,ACC-Z-MEAN-ring1,GYRO-X-MEAN-ring1,GYRO-Y-MEAN-ring1,GYRO-Z-MEAN-ring1,ACC-X-VAR-ring1,ACC-Y-VAR-ring1,ACC-Z-VAR-ring1,GYRO-X-VAR-ring1,GYRO-Y-VAR-ring1,GYRO-Z-VAR-ring1,ACC-X-SKEW-ring1,ACC-Y-SKEW-ring1,ACC-Z-SKEW-ring1,GYRO-X-SKEW-ring1,GYRO-Y-SKEW-ring1,GYRO-Z-SKEW-ring1,ACC-X-KURT-ring1,ACC-Y-KURT-ring1,ACC-Z-KURT-ring1,GYRO-X-KURT-ring1,GYRO-Y-KURT-ring1,GYRO-Z-KURT-ring1
up,-1.257,-0.559,-3.381,-74.756,-179.352,-109.742,1.254,0.508,3.713,210.786,792.817,42.684,0.7339749999999999,0.011625000000000002,0.362245,0.19507000000000005,1.9530400000000008,-0.57375,0.172851994375,0.016516954375,0.48658208497500005,534.7480174551,16920.104832298402,244.10912812750001,-2.056412993557221,0.2770118329427211,0.3785423478805418,4.016179649333111,4.393549263550743,-3.6857772274917013,5.785153551226446,5.811932775240199,9.071728473185381,36.01949432268217,22.015372299421216,23.977370652886105
up,-0.656,-0.638,-3.798,-173.65,-103.679,-71.54,1.369,0.488,2.663,157.358,674.344,60.438,0.73017,-0.0067700000000000034,0.42010499999999995,0.07406499999999994,3.0335949999999956,-1.9795450000000003,0.11252399109999998,0.010936237100000001,0.4014968039749999,497.838789210775,12188.306226120972,137.657978457975,-1.4466954203955893,-0.5011660137285515,-0.799162876785208,0.40902405319819257,4.721899227819307,-1.8439470629473091,3.104476561513022,13.169661576203193,10.680266763162216,33.968586345650586,23.93280560129733,14.780814562665157
up,-0.643,-0.368,-2.949,-102.972,-94.867,-122.764,1.076,0.897,1.887,181.942,619.388,22.409,0.7454249999999999,-0.031149999999999997,0.31348,-1.3337400000000001,-6.205449999999998,-0.5611349999999998,0.10766644437499999,0.012101087499999998,0.2819170596,501.69794833239996,8911.412872787501,166.169865256775,-1.319190357472888,3.9876220088370857,-0.8716946839223637,3.7798491306603075,5.2775818946244195,-5.4565480281230725,1.8351296334918166,31.35566203003232,5.845395659281203,31.80129895159297,30.757561596915117,45.02124354132184
up,-0.58,-0.874,-3.13,-137.543,-105.837,-80.383,1.043,0.558,2.524,81.547,665.856,65.377,0.692235,0.01072,0.42545,-0.47764,1.4460550000000056,0.271435,0.10208612977499999,0.0109719216,0.41817315750000006,359.5601555004,12200.917338521976,161.81850191577502,-1.137855220588635,-1.8325250330722265,-0.3935433599856055,-1.2812143064855688,4.532417653970323,-0.2498994602990975,1.6119625787083898,28.930826078951903,4.517861555460451,16.383395815015962,22.279072297064964,13.957312684909269
up,-1.059,-0.661,-3.584,-115.648,-136.984,-175.334,1.141,0.483,2.776,84.759,750.521,60.576,0.6213500000000001,-0.029144999999999997,0.45971000000000006,-0.24844500000000025,0.49708999999999604,-1.082365,0.1370382075,0.013966323974999998,0.5068111559,316.465906006975,16729.8411396819,392.623732581775,-1.5425752913539135,-0.8398623701169491,-0.7212644840082404,-0.5170464734221065,4.342754733457653,-4.6074320737049606,4.19667716140525,9.309587040145281,4.804425208523723,13.080228468668551,20.190990603515584,34.98493436256268
up,-1.826,-0.798,-4.65,-131.292,-134.215,-147.84,1.55,0.365,4.56,147.266,887.265,61.198,0.585425,0.004714999999999998,0.5277850000000001,2.315629999999999,-0.38692999999999755,-0.21297500000000014,0.219477654375,0.015942523775,0.6358464587749999,548.4095092830999,17220.1522518451,317.03491528437496,-1.8481391166153702,-1.9271374231686946,-0.510694469277638,-0.014334812086776498,4.924080278643342,-3.4877734465026524,6.957200655619171,10.74930724698022,13.430835706343863,19.255664046452896,25.920658186505214,28.532032116588525
up,-0.651,-1.02,-1.698,-125.321,-109.614,-86.255,1.098,0.535,2.644,146.917,724.373,82.578,0.6303949999999999,0.09434000000000001,0.5026600000000001,0.07302999999999997,1.039955,1.2214700000000003,0.13408947897499998,0.014184144400000003,0.36687735439999997,387.5383297190999,13863.584933182974,166.54221923909998,-0.7444887890469601,-4.648272019391029,0.23340103829951642,-0.3941644942646795,4.566939720023462,0.027911645372330752,-0.028094650690761558,41.605078140003215,2.225202206157313,26.812096319451918,22.073382916555055,22.449184663384745
up,-1.901,-0.48,-3.132,-225.123,-128.064,-31.923,1.272,0.816,3.523,287.436,781.596,142.54,0.570935,0.05144,0.57458,-0.7532,3.1125999999999987,0.1999449999999996,0.19078253077500001,0.0122559764,0.49286458359999996,1115.08669674,16167.55708338,255.387925631975,-1.7539653463810232,1.7930264992774432,-0.3638996721798266,2.328759442554321,4.71455744803509,4.503365535070266,6.375175748319319,17.224962570389636,7.9513794821231185,40.54057805080146,23.710914038518283,35.81120898780314
up,-0.767,-0.448,-2.03,-159.019,-177.194,-49.124,1.187,0.399,2.331,319.563,714.806,72.113,0.49904499999999996,0.03606,0.636945,1.5567749999999996,0.21928999999999918,0.38094000000000006,0.121225862975,0.008185306400000002,0.408975521975,1207.649885364375,14048.326971825896,150.11608902639998,-0.009890084089168213,-0.5641605563454697,-0.788885612266175,4.082349512384696,3.7578303958281007,1.4223169579925818,0.24792409613609268,7.897502780548533,2.0775958750415437,45.55254719269705,17.592880726926253,11.166547750265284
up,-0.654,-0.343,-2.03,-66.375,-124.0,-38.9,1.041,0.421,2.395,81.372,709.915,47.244,0.504055,0.03756,0.61059,-0.7491949999999998,0.6386200000000009,0.19218999999999997,0.11818221197500002,0.0049089764,0.3872682019,257.832944106975,13315.355750835599,96.52481423390002,-0.04561306372014995,0.9401548080248474,-0.5971099420208479,0.6623753285910411,3.9564359379279237,1.033860229438997,-0.468139497512698,10.68859623468331,1.3110225650747678,6.605255201686355,18.476926496711947,8.51326809369646
up,-0.259,-0.324,-0.855,-52.303,-144.825,-56.446,1.031,0.312,2.639,86.924,666.971,57.951,0.49369999999999997,0.059750000000000004,0.627875,-0.7514699999999999,0.04156500000000051,0.05350499999999989,0.07701215,0.0049562075,0.35558503937499997,243.4953980891,13323.937225915774,144.751529299975,0.5681521335139257,-0.7204438081905137,-0.5349724893148246,0.7834235729135077,3.347070167300008,0.6286483283011863,-0.8251533864344034,6.8487967810557615,0.7463115794511497,8.45935041124472,14.04603399983812,7.562976535505228
up,-0.444,-0.397,-1.785,-133.492,-206.471,-65.358,1.114,0.622,2.653,230.237,655.678,47.865,0.4833050000000001,0.026025,0.610995,-0.69381,-0.4177150000000006,-0.0542700000000001,0.11858914197499999,0.007978574375,0.45123085497499993,749.6451171739001,14736.383443923776,92.14343305710001,0.1600979114229022,1.5039165378273227,-0.5038435867640197,2.9720386328007433,3.4973187576308784,-1.0367471097508856,-0.7006903117810483,14.317022775313202,1.4432772303472072,32.74672223854873,14.858785364864787,14.02950929530148
up,-0.231,-0.573,-1.746,-134.679,-163.239,-119.759,1.213,0.719,2.262,162.317,664.777,73.253,0.5875900000000001,0.038675,0.497915,-0.53217,2.8252150000000005,0.6358349999999997,0.09861004189999999,0.008495539375,0.429429797775,556.8976349011,13715.265522978776,251.38143913777498,0.10446504914393484,0.2728011618635601,-0.5426345656125496,2.1469891549194857,3.1571887872768842,-1.3011202717820394,-1.1979549085610355,24.317841906250734,0.07332356432142495,26.95020288463895,12.602313306872812,22.81205172303877
up,-1.359,-1.562,-4.52,-178.295,-220.785,-294.187,1.243,2.16,2.567,344.88,707.433,122.231,0.39479,0.008100000000000001,0.61751,1.97143,-2.0029100000000017,2.690825,0.1468508359,0.07090183,0.5620543098999999,1117.0163006151001,16734.1127269119,851.441103064375,0.09964915533302077,2.2887801210113854,-1.9823963495054573,4.620537650972311,2.759802435342649,-4.392135504855725,0.8770635320294962,31.34170997155833,10.263688250521572,58.86013072895448,10.575239647636394,54.88647508571018
up,-0.28,-0.727,-1.318,-47.519,-127.956,-82.352,1.149,0.477,2.43,48.058,629.422,60.818,0.52073,-0.02972,0.6250749999999999,-1.9725950000000005,2.505250000000001,1.36673,0.1249988071,0.016114731599999998,0.306576549375,153.53526470097498,12604.582815527501,283.81500515709996,0.2385103647861025,-0.839654230341694,-0.24456711873566664,0.12235620336683697,3.8374515655078625,-0.4130827691942297,-1.4490529075090057,8.018246620296743,0.6838698378807,3.932439556824531,16.714327958553987,6.321434154849087
up,-0.146,-0.556,-1.001,-142.502,-121.914,-112.678,1.105,0.699,3.054,147.755,597.988,61.785,0.47595499999999996,-0.04809000000000001,0.6763149999999999,1.3234800000000002,1.0429049999999995,-0.8504199999999997,0.10825477297500001,0.022331851899999998,0.308364695775,520.9381727595999,11792.652866715978,323.7348244236,0.5604310134491892,0.7067883615870311,-0.012812297181733432,0.5200330106151373,3.523882663936705,-1.4142346721433257,-1.280457872041505,5.7371078816292504,2.555175098837731,21.04788021674717,13.926304665140428,11.913447574736345
up,-1.339,-1.282,-3.175,-123.505,-137.991,-217.162,1.114,0.909,4.003,54.902,843.781,60.473,0.5186599999999999,-0.021264999999999996,0.6112199999999999,-0.6882399999999999,0.38112500000000066,0.18804000000000012,0.1611825244,0.038712524775,0.45202677159999993,361.4346417224,17377.054918969374,632.2534176483999,-0.7320586025089885,-0.5142587768095479,0.12595950636269257,-3.2304005904171027,4.970819784910079,-5.392542724908793,2.1109165208621716,13.436419993743126,8.599622788241224,17.838150132207435,26.512983034718005,40.5789119067237
up,-0.78,-1.308,-3.198,-78.493,-156.729,-194.435,1.121,0.615,3.219,101.137,622.085,76.948,0.4323400000000001,-0.022059999999999996,0.6984899999999999,-0.7354050000000001,0.38447999999999977,-0.1808600000000002,0.1598116644,0.028186436400000004,0.3596204299,294.05485409097497,13240.606110149596,556.7022940504,0.24471064693418404,-2.3729906567835606,-1.5766589605495251,0.9442396613290571,3.8222972449576083,-4.116442230826746,-1.0446671611140594,20.44432901749309,12.422684741011548,13.649492196144028,16.4949049255154,31.990807970087694
up,-0.913,-1.821,-3.031,-142.711,-191.833,-298.401,1.081,1.301,3.189,76.728,740.198,108.415,0.39131,-0.029140000000000006,0.70029,0.4175200000000002,0.2595300000000006,-1.36421,0.1524711539,0.06375156039999999,0.39202323590000004,346.9238471096001,16295.702837869094,1259.3793293258998,0.30121706906263507,-1.0737404388416945,-1.2524614488142645,-2.205894839127516,3.7921189312755765,-3.6479468040629945,-0.39831533396124197,17.428854647777175,8.400024266858804,20.545233258169276,16.95688660178365,28.563480034572766
