ACC-X,ACC-Y,ACC-Z,GYRO-X,GYRO-Y,GYRO-Z,TEST
0.116,0.379,-0.900,-123.330,5.155,1.029,2
0.126,0.489,-0.881,-133.737,8.644,-2.356,2
0.103,0.387,-1.028,-153.432,7.960,-8.953,2
0.085,0.248,-0.968,-148.613,-5.599,-8.884,2
0.105,0.301,-0.937,-172.428,-4.664,-1.838,2
0.114,0.254,-0.952,-188.038,-1.355,-3.876,2
0.143,0.247,-0.997,-198.339,2.134,-8.263,2
0.165,0.212,-1.029,-200.015,-4.268,-13.305,2
0.115,0.089,-1.027,-220.828,-7.829,-25.567,2
0.086,-0.167,-0.899,-225.612,-10.742,-16.241,2
0.099,-0.237,-0.885,-220.793,5.155,-0.698,2
0.139,-0.084,-1.008,-197.571,7.205,10.113,2
0.132,-0.135,-0.942,-204.031,-3.009,-5.983,2
0.115,-0.233,-0.919,-236.507,1.918,-17.278,2
0.086,-0.441,-0.924,-271.183,1.846,-22.355,2
0.095,-0.551,-0.832,-256.621,5.838,-9.161,2
0.122,-0.526,-0.902,-285.290,17.887,-1.320,2
0.128,-0.558,-0.860,-299.398,7.744,-6.501,2
0.108,-0.591,-0.747,-356.318,2.386,-13.789,2
0.046,-0.778,-0.618,-383.486,-2.218,-24.324,2
0.077,-0.847,-0.413,-404.019,1.522,-17.174,2
0.089,-0.877,-0.308,-373.883,15.513,-11.958,2
0.104,-0.904,-0.312,-346.540,23.929,-14.756,2
0.073,-0.967,-0.226,-307.954,19.901,-10.646,2
0.050,-1.001,-0.087,-260.567,8.500,-8.090,2
0.051,-0.942,-0.051,-265.910,8.680,-8.366,2
0.072,-1.000,0.023,-280.751,10.298,-12.960,2
0.061,-0.936,0.087,-308.373,6.126,-11.648,2
0.051,-0.914,0.273,-320.699,-0.744,-18.038,2
0.019,-0.966,0.471,-244.678,1.702,-15.965,2
0.052,-0.906,0.406,-179.657,13.931,-6.466,2
0.040,-0.900,0.441,-174.035,7.709,-13.513,2
0.047,-0.918,0.475,-182.974,13.067,-9.921,2
0.029,-0.823,0.521,-201.936,9.579,-5.948,2
0.039,-0.805,0.586,-185.523,5.622,-6.294,2
0.043,-0.725,0.609,-138.730,4.328,-5.603,2
0.036,-0.717,0.665,-133.143,-0.492,-11.958,2
0.031,-0.714,0.723,-121.165,4.939,-8.815,2
0.034,-0.699,0.715,-115.334,7.313,-8.021,2
0.048,-0.733,0.712,-98.327,4.723,-1.527,2
0.034,-0.630,0.744,-117.010,4.220,3.930,2
0.039,-0.586,0.762,-117.708,2.781,-1.700,2
0.019,-0.552,0.823,-131.781,-0.851,-5.430,2
0.047,-0.563,0.856,-115.543,3.500,-7.744,2
0.059,-0.617,0.822,-146.482,7.097,-5.568,2
0.048,-0.502,0.842,-150.813,7.924,3.067,2
0.044,-0.446,0.883,-148.578,1.127,-1.424,2
0.012,-0.411,0.926,-141.349,4.687,1.201,2
0.041,-0.306,0.969,-96.197,3.752,2.721,2
0.033,-0.306,0.924,-104.334,9.327,-5.465,2
0.044,-0.299,0.979,-111.807,9.759,-9.955,2
0.042,-0.267,0.939,-113.203,14.075,-11.337,2
0.037,-0.197,0.980,-132.130,10.910,-14.618,2
0.052,-0.125,1.039,-130.559,18.283,-16.449,2
0.059,-0.127,0.966,-112.750,21.915,-21.492,2
0.063,-0.110,0.922,-108.769,15.837,-24.220,2
0.064,-0.103,0.932,-80.553,3.464,-22.010,2
0.055,-0.076,1.006,-69.972,-2.938,-20.732,2
0.052,0.020,0.995,-54.957,0.767,-18.901,2
0.057,0.047,1.033,-53.734,0.228,-27.881,2
0.064,0.041,1.007,-57.925,8.859,-36.482,2
0.059,-0.025,1.000,-63.372,6.522,-41.214,2
0.048,0.014,1.016,-38.823,5.910,-31.508,2
0.074,-0.007,0.975,-27.195,4.543,-25.084,2
0.064,0.007,1.042,-30.408,4.040,-19.177,2
0.056,0.079,0.988,-28.312,7.960,-15.102,2
0.057,0.084,1.013,-25.205,-0.096,-16.932,2
0.073,0.025,1.002,-10.294,5.694,-8.712,2
0.080,0.043,0.931,2.103,-1.607,-2.598,2
0.069,0.028,1.013,-7.605,-6.822,2.894,2
0.071,0.072,1.017,-5.090,0.012,3.585,2
0.056,0.115,0.999,-3.344,-0.132,5.277,2
0.073,0.116,0.993,-2.017,0.839,-0.526,2
0.067,0.102,0.980,-16.684,2.781,-4.463,2
0.067,0.072,0.984,-27.824,5.047,-6.536,2
0.067,0.104,0.994,-16.160,2.925,-2.874,2
0.075,0.076,1.001,-10.992,0.731,-4.636,2
0.070,0.067,0.970,0.881,1.307,0.372,2
0.070,0.115,0.983,-4.148,-2.038,2.307,2
0.075,0.118,1.045,1.405,-1.031,-0.215,2
0.073,0.094,0.908,0.776,6.845,-0.215,2
0.081,0.106,0.948,16.630,-1.607,1.892,2
0.077,0.101,0.998,2.836,-1.643,1.996,2
0.082,0.104,0.973,14.116,0.695,1.029,2
0.068,0.106,0.978,13.732,-1.067,-0.940,2
0.080,0.085,1.007,4.128,-1.571,-4.670,2
0.065,0.067,1.012,-0.271,4.220,-1.596,2
0.068,0.082,0.967,-6.417,4.903,-1.355,2
0.069,0.088,0.982,4.024,0.659,-1.320,2
0.171,0.054,1.255,83.048,29.900,4.828,2
0.083,0.121,0.769,-7.884,37.273,-6.190,2
0.094,0.031,1.088,25.954,-12.433,-1.182,2
0.086,0.066,0.994,19.773,20.441,-7.848,2
0.103,0.065,0.969,31.681,9.219,-2.563,2
0.099,0.003,0.899,1.579,6.917,-4.912,2
0.109,0.039,0.968,5.036,-6.930,0.994,2
0.092,0.038,1.029,-2.995,-1.139,0.407,2
0.094,0.063,1.005,-8.233,5.982,0.752,2
0.103,0.059,0.982,-7.186,6.558,-0.318,2
0.100,-0.022,0.963,-8.129,6.665,-0.802,2
0.102,0.015,0.943,-10.922,2.062,8.386,2
0.105,0.021,0.955,-7.919,-3.405,8.213,2
0.092,0.060,1.020,-8.268,-5.527,11.460,2
0.096,0.112,1.005,-2.297,-0.744,9.837,2
0.103,0.075,0.972,-6.313,0.443,2.445,2
0.103,0.033,0.966,-3.379,-2.074,3.930,2
0.094,0.039,0.989,-2.402,-3.549,8.213,2
0.095,0.069,0.994,-3.030,-3.225,9.284,2
0.077,0.053,0.998,-5.998,-3.369,7.695,2
0.085,0.098,1.038,-3.379,-1.787,10.631,2
0.088,0.120,0.980,-14.414,2.457,4.103,2
0.084,0.043,1.020,-22.516,-0.672,-0.146,2
0.087,0.056,0.983,-3.763,0.515,8.248,2
0.093,0.064,0.979,-14.030,-2.002,8.179,2
0.096,0.051,0.962,-9.141,-3.477,11.460,2
0.089,0.064,0.931,0.462,-9.771,15.847,2
0.088,0.109,0.979,-4.252,-13.907,17.194,2
0.079,0.152,1.017,-3.729,-10.886,13.325,2
0.063,0.091,0.983,-13.716,-7.577,9.249,2
0.050,0.179,1.106,-8.967,-13.332,13.152,2
0.079,0.199,1.125,1.963,5.407,5.174,2
0.071,0.159,0.987,-6.627,12.708,-1.113,2
0.083,0.109,0.968,-0.725,5.730,-1.147,2
0.078,0.043,0.935,1.475,7.709,-1.355,2
0.059,0.019,0.906,-1.983,0.659,12.116,2
0.070,0.169,1.013,-2.402,-9.843,17.125,2
0.095,0.184,1.068,8.249,0.515,7.557,2
0.096,0.120,0.886,8.528,11.305,0.683,2
0.087,0.143,0.958,13.732,-5.239,4.034,2
0.080,0.128,1.010,16.839,1.163,-4.014,2
0.057,0.046,0.988,5.700,2.421,-7.157,2
0.062,0.021,1.001,-7.465,0.299,1.340,2
0.064,0.144,1.053,4.967,1.199,6.244,2
0.075,0.087,0.998,0.287,6.162,-1.424,2
0.076,0.071,0.977,6.224,1.666,1.167,2
0.093,0.034,0.952,18.341,4.328,4.034,2
0.082,0.070,0.886,0.357,-3.585,7.902,2
0.068,0.124,1.027,-9.036,-10.131,3.619,2
0.063,0.091,1.091,-15.113,0.443,-1.424,2
0.088,0.093,0.999,13.173,9.399,4.137,2
0.087,0.155,0.933,27.979,0.551,1.409,2
0.089,0.096,0.943,10.135,-2.650,-9.333,2
0.205,-0.677,0.780,430.679,18.031,37.158,3
0.180,-0.737,0.645,412.416,37.201,41.752,3
0.200,-0.736,0.387,310.519,51.623,24.171,3
0.218,-0.982,0.225,289.846,42.308,3.412,3
0.217,-1.046,0.079,310.100,27.274,17.574,3
0.213,-0.953,0.098,377.111,15.046,21.580,3
0.232,-0.857,0.233,424.044,13.535,16.779,3
0.244,-0.965,0.088,383.991,49.465,7.246,3
0.229,-0.984,-0.323,308.912,72.879,15.847,3
0.232,-0.893,-0.488,223.672,45.293,20.475,3
0.248,-0.855,-0.433,243.926,22.814,10.458,3
0.240,-0.766,-0.448,266.833,27.238,6.659,3
0.238,-0.833,-0.423,333.252,25.764,-2.114,3
0.242,-0.713,-0.520,303.954,43.171,3.619,3
0.253,-0.662,-0.672,266.694,48.998,-4.083,3
0.211,-0.585,-0.827,220.808,38.855,2.445,3
