ACC-X,ACC-Y,ACC-Z,GYRO-X,GYRO-Y,GYRO-Z,TEST
1.037,0.040,-0.070,37.861,-11.426,11.702,2
1.009,0.278,0.023,18.341,-20.057,8.006,2
0.974,0.204,0.001,22.182,-3.657,-9.575,2
0.975,0.080,-0.159,20.681,-3.621,-9.195,2
1.009,0.148,-0.070,7.481,-19.050,12.911,2
1.051,0.377,0.055,0.462,-15.670,6.728,2
1.053,0.314,0.046,-12.843,-1.787,-17.001,2
1.019,0.083,0.006,-16.125,9.075,-17.934,2
1.009,0.017,-0.043,1.859,13.175,-1.873,2
1.005,0.136,-0.146,13.208,-2.794,10.769,2
0.997,0.278,0.014,8.668,-14.375,6.728,2
0.976,0.306,0.000,5.176,0.192,-2.425,2
0.948,0.284,-0.120,-7.884,-6.678,-12.546,2
0.953,0.168,0.056,-19.547,-16.641,-12.235,2
0.952,0.068,0.066,-0.760,12.096,-7.779,2
0.943,0.072,-0.143,4.163,6.450,2.376,2
0.989,0.210,-0.041,7.411,-13.835,8.800,2
1.007,0.311,0.028,8.913,-10.311,-5.845,2
0.996,0.217,-0.023,3.186,-12.397,-19.385,2
1.000,0.020,0.089,-7.570,-4.700,-13.927,2
0.991,-0.103,0.067,-9.875,10.298,10.493,2
0.969,0.091,-0.038,45.509,8.284,44.757,2
0.978,-0.043,-0.363,221.088,-2.110,46.380,2
0.957,0.368,-0.033,96.213,-28.546,75.325,2
0.971,0.642,0.101,38.036,-16.317,35.293,2
0.952,0.425,0.062,0.636,-3.441,-26.051,2
0.931,0.018,-0.180,2.068,-18.367,-36.240,2
0.985,0.179,-0.078,38.315,-101.341,-12.166,2
1.009,0.240,0.468,33.601,-62.965,-28.987,2
0.978,0.115,0.054,6.189,9.363,-23.840,2
0.949,0.138,-0.117,-5.300,-22.683,0.511,2
0.986,0.291,0.240,-24.646,-41.781,9.733,2
0.994,0.304,0.380,-32.712,1.235,1.305,2
0.968,0.308,0.121,-14.659,29.432,-17.485,2
0.948,0.134,-0.045,-12.878,11.377,-32.372,2
0.978,0.102,0.045,-12.668,-15.130,-17.174,2
0.943,0.220,0.040,-11.097,-21.460,-10.508,2
0.973,0.189,0.101,-9.211,-27.898,-22.839,2
0.976,0.078,0.113,-7.081,-20.057,-20.248,2
0.977,0.125,0.047,0.148,-21.640,-15.274,2
0.972,0.136,0.115,-1.040,-34.336,-21.077,2
0.962,0.183,0.176,1.405,-26.711,-14.376,2
0.942,0.275,0.081,1.754,-18.475,-19.523,2
0.921,0.209,0.010,-5.963,-27.395,-34.651,2
0.944,0.064,0.092,-14.659,-50.449,-40.351,2
0.959,0.081,0.213,-17.592,-52.103,-23.357,2
0.955,0.203,0.240,-9.560,-53.758,-21.699,2
0.949,0.251,0.286,-18.220,-46.780,-26.776,2
0.938,0.257,0.228,-9.281,-36.674,-49.124,2
0.904,0.019,0.172,-8.722,-29.625,-66.739,2
0.912,-0.237,0.075,-26.252,-38.796,-54.339,2
0.906,-0.156,0.148,-18.220,-62.282,-10.819,2
0.985,0.149,0.226,-26.706,-74.403,8.386,2
0.988,0.305,0.330,-24.785,-81.812,-4.290,2
1.004,0.221,0.468,-13.367,-68.540,-37.173,2
0.965,-0.034,0.414,5.560,-45.701,-49.227,2
1.014,-0.006,0.594,26.512,-31.890,-20.075,2
0.955,0.664,0.186,-67.982,-11.713,2.928,2
0.839,0.455,0.370,-42.001,-66.022,-87.498,2
0.830,-0.406,0.371,-50.696,-45.378,-95.926,2
0.797,-0.722,0.257,-20.420,-48.687,-27.432,2
0.788,-0.132,0.009,-26.078,-75.661,29.145,2
0.791,0.331,0.099,-11.062,-139.250,-12.304,2
0.868,-0.103,0.432,-2.925,-141.947,-60.867,2
0.887,-0.443,0.604,-7.221,-123.137,-38.831,2
0.823,-0.283,0.398,-30.024,-98.896,-3.634,2
