ACC-X,ACC-Y,ACC-Z,GYRO-X,GYRO-Y,GYRO-Z,TEST
0.038,0.002,0.946,5.805,-7.110,-0.353,1
0.050,-0.046,0.958,13.417,-19.770,1.961,1
0.047,0.043,1.074,10.903,-8.656,3.377,1
0.052,-0.013,0.982,3.430,-2.686,-1.700,1
0.037,0.009,1.015,-2.890,-0.528,-3.565,1
0.029,-0.017,1.021,-3.344,0.012,-4.670,1
0.029,-0.075,0.970,1.929,-2.074,-3.461,1
0.030,-0.061,1.058,2.557,2.026,4.345,1
0.036,-0.028,0.982,5.560,0.479,2.652,1
0.040,-0.030,1.007,3.430,2.781,2.169,1
0.044,-0.026,1.006,-3.100,0.875,1.340,1
0.031,0.014,1.010,-5.544,8.644,0.994,1
0.027,-0.009,0.979,0.986,5.802,-0.146,1
0.251,-0.513,0.949,-23.389,-39.443,36.260,2
0.228,-1.474,0.966,-64.525,-82.063,113.561,2
-0.012,-2.486,0.365,-125.460,-209.600,293.343,2
-0.951,-1.382,0.407,-169.250,-105.909,488.289,2
-1.705,-2.613,0.881,-175.152,-176.079,675.428,2
-2.783,-1.718,1.379,-300.097,69.930,785.439,2
-2.978,0.256,0.537,-326.880,210.846,814.142,2
-2.531,2.184,0.096,-158.949,164.558,777.979,2
-1.505,3.235,0.763,-97.035,87.518,571.911,2
-0.719,3.970,0.209,-36.763,13.211,266.851,2
-0.368,0.930,0.518,-55.061,-70.662,26.589,2
-0.187,-0.316,0.699,-30.617,-68.037,75.360,2
-0.178,1.012,0.768,-10.468,-53.254,74.185,2
-0.222,0.461,1.426,-12.808,-47.967,2.169,2
-0.235,-0.029,1.037,13.732,0.084,-4.912,2
-0.195,0.117,1.066,19.249,-11.066,12.462,2
-0.181,0.108,0.813,-12.319,11.125,-0.042,2
-0.362,0.499,1.265,-47.623,16.125,-32.579,2
-0.274,-0.241,1.333,-18.465,-2.758,7.730,2
-0.204,0.109,1.122,-7.919,67.125,14.638,2
-0.226,0.491,0.520,8.389,38.316,35.949,2
-0.307,0.688,0.610,7.551,-29.732,-1.700,2
-0.370,0.230,1.149,13.522,-36.242,-32.372,2
-0.288,-0.093,1.270,0.113,-19.518,-13.444,2
-0.220,0.055,0.996,-14.624,17.024,-3.220,2
-0.196,0.240,0.865,-14.379,13.607,-1.320,2
-0.240,0.305,0.723,-13.262,-0.204,-8.953,2
-0.282,0.337,1.087,-2.087,-5.707,-18.659,2
-0.295,0.315,0.985,9.157,9.543,-14.894,2
-0.257,0.173,0.770,10.728,11.989,-27.053,2
-0.228,0.207,0.898,10.693,-12.181,-19.315,2
-0.237,0.419,1.003,10.309,-0.204,-28.054,2
-0.242,0.262,0.955,2.871,0.767,-44.426,2
-0.243,0.178,0.834,4.478,2.493,-34.479,2
