ACC-X,ACC-Y,ACC-Z,GYRO-X,GYRO-Y,GYRO-Z,TEST
-0.038,-0.010,1.024,42.820,40.186,-6.121,1
-0.007,-0.101,1.111,65.902,50.580,-2.633,1
-0.029,-0.004,0.914,57.277,54.609,2.790,1
0.013,-0.073,0.897,41.528,46.696,-8.953,1
0.045,0.023,0.932,-15.252,60.723,-9.472,1
0.038,-0.062,0.876,18.306,57.774,-8.090,1
0.042,0.108,0.889,-17.347,38.388,-16.587,1
0.066,-0.097,0.882,-26.147,28.389,-30.265,1
0.059,-0.087,1.081,-7.709,22.850,-8.504,1
0.051,-0.357,1.277,147.266,24.649,-3.600,1
0.046,-0.031,1.029,279.335,68.168,41.924,1
0.038,0.049,0.631,208.551,59.248,24.862,1
0.089,-0.189,0.812,75.645,-2.038,-2.667,1
0.111,-0.409,1.040,26.198,-6.318,-0.629,1
0.088,-0.239,1.041,19.493,5.479,2.687,1
0.052,-0.158,0.963,-3.065,-1.211,-2.287,1
0.076,-0.251,0.966,-36.589,-4.232,-18.348,1
0.092,-0.261,1.022,-63.722,-2.146,-18.797,1
0.088,-0.279,0.955,-59.601,-0.420,-14.134,1
0.074,-0.187,0.951,-54.118,0.192,-16.276,1
0.069,-0.250,0.966,-15.601,-2.362,-16.725,1
0.068,-0.115,0.833,-33.830,-11.713,-6.881,1
0.078,-0.207,0.928,-70.321,-20.453,-19.695,1
0.067,-0.159,1.049,-74.058,-14.123,-16.863,1
0.067,-0.274,1.041,-35.785,-3.981,-20.386,1
0.065,-0.150,1.033,25.954,10.838,-4.636,1
0.041,-0.068,0.953,17.712,5.946,0.269,1
0.069,-0.125,0.926,-6.138,0.228,-7.434,1
0.134,-0.126,1.000,-25.589,-2.038,-1.734,1
0.080,-0.167,1.024,-41.477,1.630,-9.541,1
0.064,-0.092,1.028,-14.484,14.650,-16.034,1
0.072,-0.168,0.979,14.570,18.642,-22.355,1
0.068,-0.115,0.945,41.423,23.282,-11.958,1
0.075,-0.035,0.853,27.804,10.406,-11.440,1
0.082,-0.142,0.970,-2.960,0.371,-14.411,1
0.089,-0.186,0.982,2.313,3.716,-21.215,1
0.081,-0.135,1.047,25.046,10.298,-27.985,1
0.074,-0.216,1.004,51.131,19.398,-27.502,1
0.147,1.023,0.925,-980.482,136.648,61.440,2
0.099,0.945,0.040,-833.433,208.472,52.183,2
0.109,0.641,-0.292,-635.820,160.601,97.776,2
0.115,1.059,-0.343,-555.817,119.024,143.611,2
0.095,1.207,-0.645,-569.611,61.478,111.143,2
0.124,1.061,-0.469,-597.687,64.032,76.430,2
0.241,0.952,-0.166,-530.151,82.447,42.339,2
0.099,0.633,-0.389,-423.644,126.505,31.390,2
-0.117,0.191,-0.536,-302.646,132.440,34.084,2
-0.189,0.150,-0.719,-210.736,104.062,54.255,2
-0.169,0.490,-0.853,-137.298,91.726,52.805,2
-0.116,0.745,-0.824,-114.949,82.375,23.687,2
-0.142,0.587,-0.709,-127.137,101.077,-15.516,2
-0.339,0.198,-1.119,-154.444,145.495,-24.704,2
-0.546,-0.078,-1.584,-126.962,60.723,2.618,2
-0.356,0.297,-1.024,-62.779,4.831,3.827,2
-0.435,0.074,-1.051,-53.420,26.915,3.101,2
-0.395,0.250,-1.107,-71.788,25.260,9.215,2
-0.546,-0.225,-1.262,-79.575,23.354,3.343,2
-0.342,-0.095,-0.963,-60.823,-27.143,33.877,2
-0.277,0.036,-0.745,-45.598,-11.497,9.491,2
-0.342,-0.050,-0.872,-28.906,-6.282,13.671,2
-0.304,0.104,-0.913,-9.211,-4.484,14.672,2
-0.397,-0.109,-1.110,15.722,-1.715,7.419,2
-0.263,0.184,-0.912,0.078,-0.312,19.197,2
-0.309,0.187,-1.055,7.236,-5.419,12.254,2
-0.289,0.027,-0.977,55.007,-4.952,15.363,2
-0.316,0.189,-1.077,113.324,-30.452,21.235,2
-0.271,0.514,-1.187,170.069,-68.180,11.425,2
-0.288,0.348,-1.118,240.957,-97.601,-24.013,2
-0.259,0.196,-0.980,280.103,-97.529,-23.426,2
-0.089,0.268,-0.631,295.014,-66.310,-17.105,2
-0.107,0.347,-0.525,338.455,-2.578,-14.929,2
-0.186,0.616,-0.644,362.305,61.370,-12.373,2
-0.276,0.818,-0.954,294.735,63.061,-15.343,2
-0.237,0.830,-0.717,225.523,49.286,-25.982,2
-0.254,0.752,-0.702,188.298,30.835,-36.897,2
-0.219,0.773,-0.627,185.539,6.522,-28.780,2
-0.215,0.781,-0.581,162.841,1.055,-17.312,2
-0.166,0.894,-0.389,185.853,-4.988,-17.519,2
-0.189,0.959,-0.371,175.447,11.773,-13.893,2
-0.218,0.972,-0.431,147.895,1.307,-19.903,2
-0.159,0.926,-0.355,111.334,-7.937,-19.246,2
-0.139,0.840,-0.227,76.728,-9.987,-15.585,2
-0.159,0.881,-0.332,71.315,-7.649,-14.204,2
-0.131,0.973,-0.274,51.550,-14.555,-4.843,2
-0.139,0.988,-0.192,50.887,-14.806,-13.893,2
-0.151,0.952,-0.208,38.839,-4.052,-16.725,2
-0.133,0.943,-0.221,39.223,-11.497,-6.121,2
-0.124,1.041,-0.160,62.340,-8.548,-9.782,2
-0.157,0.960,-0.223,58.848,-4.592,-13.789,2
-0.145,0.976,-0.189,59.268,-8.404,-16.587,2
-0.125,0.960,-0.178,71.804,-12.612,-18.625,2
-0.101,1.114,-0.135,91.883,-18.223,-22.977,2
-0.131,0.990,-0.060,74.982,-13.404,-27.743,2
-0.097,1.016,-0.154,108.680,-23.223,-34.271,2
-0.088,0.904,0.027,137.349,-12.576,-30.852,2
-0.107,0.772,-0.087,95.724,-11.713,-15.689,2
-0.074,0.953,-0.014,41.912,-12.864,2.825,2
-0.067,1.037,0.152,59.128,-14.698,-7.503,2
-0.083,1.088,0.080,115.314,-3.333,-23.115,2
-0.075,0.952,0.132,159.489,-8.692,-24.635,2
-0.043,0.898,0.157,153.063,-4.124,-14.825,2
-0.042,0.983,0.212,143.495,0.192,-4.256,2
-0.071,0.976,0.249,163.958,10.945,-4.809,2
-0.085,0.902,0.033,75.261,-19.590,4.966,2
-0.070,0.988,0.359,31.296,-28.977,13.325,2
-0.066,1.048,0.421,59.756,-8.620,8.455,2
-0.082,0.944,0.465,106.654,7.205,10.700,2
-0.076,0.836,0.274,105.397,14.722,7.902,2
